# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: net runoff [mol d^-1]
# Region: surface domain outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: max ponded depth [m]
# Region: surface domain
# Reduction: maximum
# Variable: surface-ponded_depth
# Number of Vectors: 1
# =============================================================================
"time [d]","net runoff [mol d^-1]","surface water content [mol]","subsurface water content [mol]","max ponded depth [m]"
3.081062644012e+00,1.350818956735e+07,1.217571711882e+10,9.423082483500e+12,1.295789659454e+00
3.129844825651e+00,1.333934435792e+07,1.240421063753e+10,9.423005979097e+12,1.313282888259e+00
3.178627007291e+00,1.317339202170e+07,1.263199692151e+10,9.422930348170e+12,1.330521830387e+00
3.215213643521e+00,9.788069038386e+06,1.280258577720e+10,9.422873967890e+12,1.343327227348e+00
3.251800279751e+00,9.697547881890e+06,1.297249273398e+10,9.422818360103e+12,1.356032762476e+00
3.297533575038e+00,1.198348174791e+07,1.318401431112e+10,9.422749850501e+12,1.371803508924e+00
3.343266870325e+00,1.184805381052e+07,1.339547739605e+10,9.422681535121e+12,1.387492571067e+00
3.389000165612e+00,1.171532245062e+07,1.360706036191e+10,9.422613230531e+12,1.403132713323e+00
3.434733460900e+00,1.158495278899e+07,1.381880451213e+10,9.422544899516e+12,1.418768769193e+00
3.480466756187e+00,1.145662293165e+07,1.403027627020e+10,9.422476965536e+12,1.434437814481e+00
3.526200051474e+00,1.133024363191e+07,1.424545765329e+10,9.422405442808e+12,1.450155382953e+00
3.583366670583e+00,1.396927072216e+07,1.451517325839e+10,9.422315505004e+12,1.469869774579e+00
3.640533289692e+00,1.378041815426e+07,1.478704815592e+10,9.422223594839e+12,1.489618583481e+00
3.697699908801e+00,1.359674530802e+07,1.506224948640e+10,9.422128541493e+12,1.509370948003e+00
3.754866527911e+00,1.341857440281e+07,1.533743479166e+10,9.422033682264e+12,1.529103796608e+00
3.812033147020e+00,1.324608759010e+07,1.561363464822e+10,9.421937981010e+12,1.548802111411e+00
3.854908111351e+00,9.840083817743e+06,1.582211605240e+10,9.421864966280e+12,1.563549964535e+00
3.908501816766e+00,1.215721898334e+07,1.608377141121e+10,9.421772792531e+12,1.581944591443e+00
3.962095522181e+00,1.201934404371e+07,1.634609599003e+10,9.421680084712e+12,1.600295536060e+00
4.029087653949e+00,1.481873921134e+07,1.667416689277e+10,9.421564250736e+12,1.623166763280e+00
4.096079785718e+00,1.462363912478e+07,1.700434342960e+10,9.421446495569e+12,1.645967823902e+00
